기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020.1/4	합계	10,013,781	4,874,995	5,138,786	1,518,239	671,095	847,144	1,510,460	667,011	843,449	7,779	4,084	3,695
2020.1/4	종로구	161,984	78,271	83,713	28,073	12,459	15,614	27,855	12,335	15,520	218	124	94
2020.1/4	중구	136,469	66,769	69,700	23,794	10,495	13,299	23,448	10,303	13,145	346	192	154
2020.1/4	용산구	246,165	119,961	126,204	39,439	16,753	22,686	38,947	16,455	22,492	492	298	194
2020.1/4	성동구	307,193	149,891	157,302	44,728	19,517	25,211	44,547	19,424	25,123	181	93	88
2020.1/4	광진구	365,990	176,226	189,764	48,989	21,851	27,138	48,721	21,721	27,000	268	130	138
2020.1/4	동대문구	362,793	178,202	184,591	60,367	26,869	33,498	60,157	26,775	33,382	210	94	116
2020.1/4	중랑구	400,678	198,122	202,556	66,764	29,854	36,910	66,649	29,796	36,853	115	58	57
2020.1/4	성북구	454,532	218,561	235,971	72,172	31,020	41,152	71,997	30,943	41,054	175	77	98
2020.1/4	강북구	316,750	154,141	162,609	61,660	26,518	35,142	61,537	26,462	35,075	123	56	67
2020.1/4	도봉구	333,495	162,774	170,721	60,023	26,892	33,131	59,968	26,866	33,102	55	26	29
2020.1/4	노원구	535,495	258,696	276,799	82,682	34,770	47,912	82,605	34,738	47,867	77	32	45
2020.1/4	은평구	482,509	231,953	250,556	82,245	35,610	46,635	82,046	35,511	46,535	199	99	100
2020.1/4	서대문구	325,875	154,502	171,373	53,038	22,459	30,579	52,568	22,219	30,349	470	240	230
2020.1/4	마포구	386,086	181,204	204,882	53,283	22,363	30,920	52,912	22,171	30,741	371	192	179
2020.1/4	양천구	460,532	226,109	234,423	62,761	28,111	34,650	62,622	28,043	34,579	139	68	71
2020.1/4	강서구	595,703	288,134	307,569	85,992	37,990	48,002	85,713	37,819	47,894	279	171	108
2020.1/4	구로구	438,308	218,970	219,338	67,432	30,848	36,584	66,383	30,265	36,118	1,049	583	466
2020.1/4	금천구	251,370	128,643	122,727	38,508	17,591	20,917	37,948	17,289	20,659	560	302	258
2020.1/4	영등포구	404,766	202,617	202,149	59,373	26,821	32,552	58,266	26,223	32,043	1,107	598	509
2020.1/4	동작구	407,802	196,943	210,859	63,378	27,608	35,770	63,090	27,465	35,625	288	143	145
2020.1/4	관악구	516,662	258,982	257,680	76,664	34,225	42,439	76,174	33,985	42,189	490	240	250
2020.1/4	서초구	434,801	207,877	226,924	58,332	26,333	31,999	58,226	26,282	31,944	106	51	55
2020.1/4	강남구	549,898	263,163	286,735	72,602	32,552	40,050	72,461	32,483	39,978	141	69	72
2020.1/4	송파구	680,883	329,058	351,825	89,539	41,297	48,242	89,346	41,208	48,138	193	89	104
2020.1/4	강동구	457,042	225,226	231,816	66,401	30,289	36,112	66,274	30,230	36,044	127	59	68
